from_label,to_label,from_distance_m,to_distance_m,delta_distance_m,feature_cosine_similarity,feature_l2_distance,pixel_cosine_similarity
-0.8m,-0.7m,-0.8,-0.7,0.10000000000000009,0.9896669983863831,5.038998603820801,0.9908296465873718
-0.7m,-0.6m,-0.7,-0.6,0.09999999999999998,0.9893964529037476,5.008998394012451,0.9911227822303772
-0.6m,-0.5m,-0.6,-0.5,0.09999999999999998,0.9918527603149414,4.326290130615234,0.9913349151611328
-0.5m,-0.4m,-0.5,-0.4,0.09999999999999998,0.9918816089630127,4.324843883514404,0.9912534356117249
-0.4m,-0.3m,-0.4,-0.3,0.10000000000000003,0.9925558567047119,4.160747528076172,0.9916370511054993
-0.3m,-0.2m,-0.3,-0.2,0.09999999999999998,0.9815962314605713,6.504727363586426,0.9915682673454285
-0.2m,-0.1m,-0.2,-0.1,0.1,0.987211287021637,5.390170574188232,0.9910150766372681
-0.1m,+0.0m,-0.1,0.0,0.1,0.9907990097999573,4.703647136688232,0.9907214045524597
+0.0m,+0.1m,0.0,0.1,0.1,0.9843520522117615,6.228488922119141,0.9905274510383606
+0.1m,+0.2m,0.1,0.2,0.1,0.9858379364013672,6.114845275878906,0.9907674193382263
+0.2m,+0.3m,0.2,0.3,0.09999999999999998,0.9859039187431335,5.598401069641113,0.9911066293716431
+0.3m,+0.4m,0.3,0.4,0.10000000000000003,0.9900506734848022,5.019824981689453,0.9912830591201782
+0.4m,+0.5m,0.4,0.5,0.09999999999999998,0.9856184720993042,5.91541862487793,0.9912628531455994
